RESEARCH_REPORT_ID,RECORD_ID,TITLE,CONTENT,SENTIMENT_CLASSIFY,HALF_POSITIVE_PROBABILITY,POSITIVE_PROBABILITY,NEGATIVE_PROBABILITY,NEUTRAL_PROBABILITY,SENTIMENT_SCORE
843932,0,"Zhongju High-tech Announces First Quarterly Report 2015, both revenue and net profit are significantly lower than expected","The company achieved operating income of 656 million yuan in the first quarter of 2015, down 2.86% year-on-year; net profit attributable to the parent company was 53.24 million yuan, corresponding to EPS of 0.067 yuan, down 32.75% year-on-year; weighted average return on equity was 2.24%, compared with the previous year. Reduced by 1.4 percentage points.",-2,0,0.27,0.71,0.01,-0.98
629522,6,"The proportion of real estate loans decreased, but the potential risks were not completely released.",The proportion of real estate loans of Industrial Bank decreased by 2.4BP to 11.8%. The change was mainly reflected in the significant decline of 25BP to 47% for publicly issued loans.,-2,0.14,0.2,0.57,0.1,-0.98
536620,0,First quarter rate fell more than expected,"Due to the unpublished securities trading volume of the Shenzhen Stock Exchange in March, it is difficult for us to accurately calculate the commission rate. The company's first-quarter agent trading securities business income was 1.08 billion yuan, down 14% and 43% year-on-year and quarter-on-quarter, respectively. The ratio is 25% and -23%. If only the transaction volume announced by the above exchanges is calculated, the company's rate will fall by more than 20% in the first quarter, which is different from the steady rate of the company's rate in the fourth quarter. expected. However, the calculation does not include the Shenzhen Stock Exchange data and there may be some errors.",-2,0.1,0.04,0.69,0.17,-0.98
629522,5,Increase in operating expenses and a slight increase in cost-to-income ratio,"Operating expenses increased by 1.125 billion yuan to 11.474 billion yuan from 2008, an increase of 10.87% year-on-year, and the cost-to-income ratio increased by 1.79 BP to 36.69%. The increase in expenses was mainly due to the increase in related expenses for the establishment of branches, among which employee compensation, office expenses and other expenses accounted for the largest of the three expenses. In 2010, the branches are in the expansion period, and the related expenses will increase. However, the establishment of the organization to help the business develop is beneficial to the long-term development of the company.",-2,0.14,0.15,0.55,0.16,-0.97
2075459,1,The decline in profits was mainly caused by exchange losses and rising raw material prices.,"The company's financial expenses for January-September was 117 million yuan, compared with -0.45 million yuan in the same period of the previous year, an increase of 162 million yuan, a year-on-year increase of 360.73%, of which exchange losses were an important part. As the company's current export business still accounts for more than 70%, the appreciation of the RMB has been obvious since the beginning of the year, resulting in a cumulative exchange loss of more than 100 million yuan during the reporting period, which seriously dragged down the company's profits. On the other hand, the prices of ABS plastic particles and silicon steel sheets, which are the main bulk raw materials of the company's products, have risen sharply and remain at a high level. Due to the time lag of the company's export business orders, raw material prices cannot be transmitted in real time, which puts pressure on the company's profits. ? Operating cash flow declined year-on-year, and the quarter-on-quarter continued to improve. The net cash flow generated by the company from January to September was 63.5 million yuan, down 79.02% year-on-year; Q3 was 61.2 million yuan in a single quarter, down 56.31% year-on-year and 24.83% quarter-on-quarter. The expansion of sales scale, increase in accounts receivable, increase in inventories, and purchase of raw materials led to a decline in the company's operating cash flow in 2017 and is expected to improve in the future.",-2,0.08,0.02,0.85,0.04,-0.97
727416,1,The impact of the "restricted entertainment order","The company's main TV program is a variety entertainment program, which will be affected by the “Restricted Entertainment Order” of the State Administration of Radio, Film and Television.",-2,0.14,0.05,0.53,0.28,-0.97
714960,0,Slower demand and rising costs led to a decline in company performance,"In the first half of the year, due to the slowdown in macroeconomic growth and the impact of the earthquake in Japan, market demand was affected and income was basically the same as last year. However, due to the sharp rise in raw material prices and the significant increase in labor costs, the cost has risen too fast, resulting in a significant decline in net profit year-on-year.",-2,0.05,0.02,0.89,0.04,-0.97
722183,2,"During the reporting period, the year-on-year growth rate of net profit (22%) was slightly lower than the year-on-year growth rate of revenue (24%). The main reason was that asset impairment losses increased by 70% year-on-year and non-operating income decreased by 41% year-on-year.","As a result of the increase in inventory and current payments, the accrual basis increased, and asset impairment losses amounted to 103 million yuan. Non-operating income decreased by 22.5 million yuan year-on-year due to lower government subsidies.",-2,0.01,0.17,0.69,0.13,-0.97
699241,0,"The company's net profit in 2010 increased only slightly, mainly due to the sharp rise in raw material prices.","In the past 10 years, the company's main products, crystalline silicon cutting fluid and polyether monomer, have strong demand in the downstream market, and sales volume has increased significantly. Among them, sales of crystalline silicon cutting fluid increased by 107% year-on-year, and polyether monomer increased by 135% year-on-year. However, due to the economic recovery, the company's main raw material ethylene oxide price experienced a sharp rebound after the downturn in 2009, from the average price of 10,150 yuan in 2009 to 12,060 yuan in 10 years, the company's operating costs increased significantly year-on-year, crystalline silicon cutting fluid Gross profit margin fell by 22.75%. Although last year's performance was dragged down by raw materials, 11 years will become a turning point for the company's performance to rise sharply. In the next few years, the company will enter a high-speed growth channel for the following reasons:",-2,0.18,0.13,0.68,0.01,-0.97
2212301,3,Key risks to rating,? The sales of the listed products did not meet expectations; the progress of research and development of the varieties was slower than expected.,-2,0.05,0.11,0.68,0.16,-0.96
2212285,1,Reduced advertising investment and reduced cost ratio,"In the first half of the year, the company's investment in advertising expenses dropped significantly, with advertising expenses totaling 28 million yuan, down 71.53% year-on-year. Affected by this, the sales expenses incurred were 173 million yuan, a year-on-year decrease of 19.50%, and the sales expense ratio was 8.3%, returning to the pre-market level. Among them, the sales cost of 2Q18 was 102 million yuan, down 22.14% year-on-year and 43.66% quarter-on-quarter.",-2,0.19,0.03,0.56,0.22,-0.96
591951,2,Declining sales in the third quarter led to a decline in revenue and a decline in gross profit margin,"In the third quarter, the company sold 9485 SUVs, down 10.5% from the previous month, and sales revenue decreased by 14%. The decrease in revenue and product structure led to a decrease of 2.5% in gross profit margin. The sales of products with high profitability in the third quarter decreased, resulting in a decrease in net profit. 68%.",-2,0.01,0.01,0.97,0.02,-0.96
609209,3,Gross profit margins are under downward pressure,"The gross profit margin of the main business in the first half of the year was 14.50%, down 3.3 percentage points year-on-year. The decline in gross profit margin is mainly: (1) Since the fourth quarter of 2012, the company has continued to promote the integration of offline chain platforms and online business, and increased promotion and promotion; (2) the company adopted the online and offline price strategy to lower The gross profit margin under the line; (3) The online business has developed rapidly, the operation of consumer electronic products has matured, and the proportion of scale has increased. Due to the low gross profit margin of such products, it has an impact on the overall gross profit margin of the company. With the implementation of the same price strategy, the downward pressure on Q3 and Q4 gross margin is still relatively large.",-2,0.13,0.19,0.62,0.06,-0.96
743127,0,The loss in the first quarter does not mean the end of the high market in the region.,"The company announced a quarterly report today, achieving operating income of 166 million yuan, down 6.94% year-on-year; net profit attributable to the parent company was 9.39 million yuan, while profit in the first quarter of last year was 6.08 million yuan; EPS-0.02 yuan.",-2,0,0.42,0.51,0.06,-0.96
2212283,0,"The main business of commercial real estate is still under pressure, and the growth of performance is limited.","The company 2Q2018 caused the profit to lower the rent, the subsidiary company's import and export company to adjust the business scope and thus the business volume decreased, etc., the revenue was re-emerged at the beginning of the last quarter. The main business of the company's commercial real estate has been negatively affected by the macro economy. It still takes time for the new business to contribute profits, and the short-term growth space is limited.",-2,0.11,0.33,0.54,0.01,-0.96
604954,8,"Brokerage: commission rate decreased by 11.86% year-on-year, cost investment continued to increase","In the first half of the year, the company realized brokerage commission income of 1.459 billion yuan. Due to the double impact of market transaction volume increase of 25.17% and commission rate decline, commission income increased by 17.99%.",-2,0.11,0.12,0.75,0.02,-0.96
707135,0,"The gross profit margin of the main business was 10.07%, a year-on-year decrease of 0.32.","1. The growth rate of the company's brand management business is lower than that of the media agency business and the self-owned media business, which makes the high-margin brand management business account for a decrease in the overall revenue ratio, thus reducing the overall gross profit margin of the main business; The increase in prices has led to a decline in the gross profit margin of its own media, which has led to a decline in the overall gross profit margin of the main business.",-2,0.04,0.06,0.87,0.02,-0.96
1701705,0,"The company's 15Q3 loss was 100 million in a single quarter, and its performance was lower than expected.","The company's 15Q1-Q3 realized revenue of 22.199 billion yuan (yoy+0.22%), the net profit attributable to the parent company was 979.98 million yuan (yoy -19.90%), EPS was 0.01 yuan, lower than our expectation; 15Q3 was attributed to the parent company's net profit in a single quarter- 100 million yuan (yoy-263.31%, QoQ -270.50%), EPS -0.09 yuan. The main reason for the single-quarter loss was that the RMB exchange rate fluctuations led to a significant increase of RMB 310 million in financial expenses in a single quarter. The company expects that with the favorable price of Q4 crude oil and the recovery of downstream demand, it is expected that the company will turn losses into profit in 2015, with a profit of 1-2 billion yuan (yoy+127~157%).",-2,0.02,0.38,0.57,0.03,-0.96
1342767,0,Profit is better than expected,"In the case of a large decline in revenue, the company's gross profit margin in the first half of the year still increased by 2.8 percentage points over the same period of the previous year, and continued to reflect the results of improved business capabilities and effective cost control. It is worth noting that the company's construction and installation business volume declined significantly in the first half of the year, but the workload of the design sector remained at a relatively high level, reaching 1.02 million working hours (compared to 1.17 million working hours in the same period last year). Judging the company's business volume in the coming year is still under downward pressure but the magnitude is relatively controllable. In the first half of the year, the company received orders totaling 3.695 billion yuan, including domestic orders of 1.838 billion yuan and overseas orders of 1.812 billion yuan, including six international projects such as the Brazilian FPSO. In the case of low oil prices, the company is facing greater market development pressure, and internationalization is still the main breakthrough direction.",-2,0.1,0.31,0.53,0.05,-0.96
516960,3,"Gross profit increased sharply in the first quarter, and the increase in costs eroded profits.","In the first quarter of this year, the company's comprehensive gross profit margin increased by 17% to 65.53%, reflecting that the company's high-end wines felt that sales rebounded significantly. However, due to the increase in marketing efforts, the sales expense ratio also increased by 13%, and the sales expenses increased by 60% year-on-year, which directly led to the decline of the first-quarter profit, and the net profit margin also fell by 1.2% to a low of 3.5%.",-2,0.2,0.12,0.67,0.01,-0.96
741925,2,The cost has risen faster and the gross profit margin has decreased.,"In the first quarter, the company's cost increased by 28% year-on-year. We believe that on the one hand, coal prices rose year-on-year, and on the other hand, the company's Guandi hydropower plant also increased production costs in March, resulting in a 4 percentage point drop in gross profit margin to 13%. In addition, the company's hydropower ratio is relatively high, and the gross profit margin is also affected by the water. The Ertan hydropower is affected by the southwest drought. The amount of water in the reservoir has decreased by 29% year-on-year, and the power generation has dropped by 28% year-on-year. It has also structurally reduced the company's hair. interest rate.",-2,0.14,0.15,0.69,0.02,-0.95
537904,1,The reason for the decline in gross profit margin is that the gross profit of the heating business has fallen sharply by 5.97 percentage points.,"Since the winter cold season is longer than the same period of the previous year, at the same time, in order to improve the heating quality, the indoor temperature in winter should not be lower than 18 °C, and the heating cost is increased.",-2,0.04,0.07,0.81,0.08,-0.95
539238,0,Hongta Securities Investment Rating,Based on the rise and fall of the company's share price in the next six months after the report is based on the rise and fall of the benchmark index for the same period: the benchmark index of Shenzhen Stock Exchange is SZSE; the benchmark index of SZSE SME is SME Refers to; the benchmark index of the Shenzhen Stock Exchange is: GEM,-2,0.18,0.01,0.51,0.29,-0.95
2161173,0,The rise in oil prices is the main reason for the decline in the gross profit of the main business in the first quarter.,"The company's first quarter revenue was 361 million yuan, up 6.67% year-on-year. Operating costs were 259 million yuan, up 17.86% year-on-year. Gross profit was 102 million yuan, down 14.2% year-on-year. Gross profit margin fell to 28.1% from 34.9% in the same period last year. We believe that the cost growth rate is significantly higher than the revenue growth rate mainly due to the upward trend of oil prices. The average price of Brent crude oil in the first quarter was US$66.9/barrel, up 24.6% year-on-year. The average spot price of marine oil (380CST) in the first quarter increased by 20.3%. The 2017 annual report shows that the cost of the company's passenger fuel transportation costs is 25.7%. We roughly estimate that the proportion of fuel in the first quarter will increase to about 30%, and the cost of rising oil prices will increase by about 13 million yuan.",-2,0.05,0.15,0.65,0.14,-0.95
692774,2,"Dongguan Securities is the most flexible brokerage firm, and the rapid decline in commission rate will be eased. near","In the past two years, the company's brokerage business accounted for an average of 96% of revenue, which is higher than all listed brokers. The brokerage business has an important impact on the company's performance. In the first half of the year, the company's commission rate was affected by the intensified competition in the Dongguan market. The decline was higher than the industry average. At present, the city of Dongguan has been included in the saturated regional outlets. At the same time, local regulatory agencies have adopted stricter remediation measures for vicious competition in the industry. We believe that In the future, the decline in the local commission rate of Dongguan Securities is expected to be significantly eased.",-2,0.35,0.05,0.6,0,-0.95
2145508,1,The proportion of film and television business increased; the overall gross profit margin decreased slightly; the sales expenses decreased by 9.71,"In 2017, the company's revenue structure accounted for 85.5% of the film and television entertainment business, which was significantly higher than that of 2016 and 2015. We believe that the main result is that Fanghua, which was released in December, achieved better box office; the comprehensive gross profit margin was 45.4%. Compared with the 50.3% in 2015 and the 51.2% in 2016, the decline was mainly due to the decline in the gross profit margin of the relatively large film and television entertainment business. We believe that due to the nature of its project system, the gross profit margin fluctuated within the normal range; The year-on-year decrease of 9.71% was mainly due to the decrease in technical service fees and poster production fees; the administrative expenses increased by 0.18% year-on-year, and the financial expenses increased by 3.26% year-on-year.",-2,0.02,0.01,0.96,0.01,-0.95
592614,1,"Division ""overweight"" rating, reasonable price range of 12.95-14.8 yuan","Risk factors: the mass production of the third-generation engine is slower than expected, and the export subcontracting market is booming.",-2,0.18,0.21,0.52,0.1,-0.95
676574,0,"In the project area, the volume of commercial housing fell back from the previous month.","The company's real estate projects are mainly distributed in Guangzhou and Changsha. In the Guangzhou real estate market, the residential transaction volume in April decreased by 5.38% from the previous month. The first 10 days of May decreased further by 19.78% compared with the same period in April. The transaction volume was gradually slowed down due to the policy. However, affected by the new construction time lag, the commercial housing in April The de-chemical cycle will remain low, and the contradiction between supply and demand will still exist. In Changsha real estate market, residential transaction volume rose in April",-2,0.11,0.12,0.63,0.15,-0.95
809895,1,"Due to the impact of new capacity, the gross profit margin of soy sauce has declined.","In the first half of the year, the company's comprehensive gross profit margin was 29.38%, an increase of 3.08% over the same period of the previous year. Although the company has been adjusting the soy sauce structure in recent years, the gross profit rate of condiments in the first half of the year was 33.51%, which was 1.42% lower than the same period of the previous year. The gross profit margin of grain and oil products was 17.22%, an increase of 6.39 over the same period of the previous year. %. We believe that with the gradual digestion of the company's new raw soy sauce production capacity, the company's condiment gross margin will steadily increase.",-2,0.1,0.24,0.56,0.09,-0.95
807928,1,State Grid audit affects revenue recognition,"In the second quarter, the company realized revenue of 210 million yuan, a decrease of about 21 million yuan from the same period of last year. In the second quarter, it achieved a net profit of 92 million yuan, an increase of 1.6 million yuan. The performance report said that the business progress was slower than the actual progress, and the revenue confirmation was delayed, resulting in a year-on-year decrease in revenue. At the same time, the company's operation scale expanded and various expenses increased, resulting in a decline in net profit. The impact of State Grid audits on revenue recognition continued to exist in the second quarter. We estimate that the return on investment from Huakai Investment in the second quarter increased net profit over the same period last year.",-2,0.08,0.19,0.61,0.12,-0.94
1729955,1,"Slow release of production capacity, integration of mines dragged down performance","At present, the company has a production capacity of 30 million tons of 6 mines, all of which are in production; 12 integrated mines, 4 consolidated and 8 shares, involving a production capacity of 10.5 million tons. At that time, the purchase price was 1.53 billion yuan, and the technical transformation investment after the acquisition was 1.2 billion yuan. Because part of the cost can not be capitalized, dragging down the company's performance. At present, half of the integrated mines have been slowed down, and several mines that have completed the infrastructure will decide the commissioning progress according to the follow-up production policy and the coal price trend. In addition, the company intends to close the inefficient mines with serious losses and hopeless losses, respond to the national policy of de-capacity, and use the supply-side reform to divert redundant personnel.",-2,0.05,0.2,0.69,0.06,-0.94
1362936,1,"Gross profit margin decreased slightly, the overall level of the three fees was higher, and there was a large room for decline.","In the first three quarters, the company's consolidated gross profit margin was 55.35%, down 6.58% from 61.93% in the same period last year. The main reason is that the intelligent transportation business with lower gross profit increased by 59.52% year-on-year, of which the gross profit margin of intelligent transportation business was generally 20%-30%, while the gross profit margin of OSS software business was between 60%-70%. The ratio of three expenses to operating income was 52.41%, which was nearly 10% lower than 62.46% in the same period of last year, but the overall level was still high. The sales expenses in the three fees accounted for 10.86% of the revenue, the management expenses accounted for 40.57%, and the financial expenses accounted for 0.98%. It is expected that there will still be a large space for cost reduction in the future.",-2,0.18,0.11,0.55,0.15,-0.94
1728861,1,Various business developments],"Benefiting from active trading in the market, brokerage business revenue increased by 145% year-on-year: In 15 years, Everbright Securities's business income net income market share was 2.72%, down 0.2 percentage points over 14 years; commission rate was 5.6 million, compared to last year. The decrease was 15.0%; the brokerage business income was 7.49 billion yuan, a year-on-year increase of 145%.",-2,0.04,0.39,0.5,0.07,-0.94
2028407,1,"The second quarter results improved from the previous quarter, but the gross profit margin in the first half of the year declined significantly.","In the first quarter, the output of new energy vehicles fell by 4.7% year-on-year due to the policy of degrading subsidies for new energy vehicles and the subsidy standards, as well as the policy factors such as the failure of local subsidy policies. The shipments in the first quarter were lower than the previous year. In the same period, the new energy vehicle market gradually recovered in the second quarter, and the increase in the company's diaphragm product shipments led to an improvement in performance. Due to the sluggish passenger car market with lithium iron phosphate battery in the first half of the year, the demand for dry diaphragm is sluggish, and the product price is expected to fall by 15%. At the same time, the new production line investment and coating ratio increase, resulting in an increase in cost. The gross profit margin of the first half of the year fell by 9.2. The percentage points to 53.1%.",-2,0.03,0.13,0.83,0,-0.94
595054,1,Revenue and net profit growth rate is lower than expected,"The main reasons are as follows: First, the economy has a down cycle, investment activity has weakened, and the company's orders have been too optimistic. Second, the increase in market competition has led to a decline in gross profit margins, and it is difficult to reduce the expense ratio.",-2,0.03,0.02,0.92,0.03,-0.94
537337,4,Loss on stock price is likely to decrease and disappear,"? Risk warning: The company is still in the stage of filing investigation, and the final punishment will come out and",-2,0.02,0.02,0.67,0.3,-0.94
1956266,4,"2016Q4 net profit decreased by a large margin, the overall performance growth was lower than expected","The company released its 2016 annual report. The company achieved revenue of 11.13 billion yuan in 2016, a year-on-year increase of 14%, net profit of 362 million yuan, a year-on-year increase of 87.5%; Q4 revenue increased by 6.3%, but net profit fell by 42.9%. . Benefiting from the company's Vietnam plant volume and overseas market development, 2016 performance achieved a large increase, but the fourth quarter net profit fell sharply below our expectations. The decline in net profit was mainly due to the large increase in the prices of raw materials such as natural rubber, synthetic rubber and carbon black, which led to a rapid increase in the company's operating costs. Since October 2016, the company has increased the sales price of some products, but we do not expect to completely alleviate the erosion of gross profit margins in the short term. The company's 2017 Q1 results are still under pressure.",-2,0.03,0.39,0.58,0.01,-0.94
763618,0,Key risks to rating,? Unpredictable damage to the industry and company brand caused by the food quality trust crisis of infants and young children;,-2,0.19,0.05,0.65,0.1,-0.94
1851152,1,"The group is planning a real estate business asset integration plan for the non-Poly Group, and the stock is suspended. The company is a group of domestic real estate","Risk warning: short-term capital pressure has already occurred; parent company planning and restructuring, real estate and aviation culture business development is certain.",-2,0.06,0.09,0.58,0.27,-0.94
1345642,1,"In the first half of the year, the cost control was effective and the management expenses were greatly reduced.","In the first half of the year, the company's total expenses were 1.217 billion yuan, a year-on-year decrease of 27.01%, of which management expenses decreased by 390 million yuan, a decrease of 29.31%, and sales expenses decreased by 37.06%, mainly due to the decrease in freight costs and the steady decline in financial expenses.",-2,0.36,0,0.61,0.03,-0.94
600741,7,2. The profit level has decreased,"In the first half of 2013, the company's net profit growth rate was lower than the growth rate of revenue, which was due to the decline in the company's comprehensive gross profit margin. In the first half of 2013, the consolidated gross profit margin was 42.95%, down 6.04 percentage points year-on-year; the net interest rate was 18.19%, down 2.35 percentage points year-on-year. This is mainly due to the rapid development of the domestic environmental monitoring market and the increasing competition in the industry, which has led to a decline in the price of the company's products.",-2,0.15,0.13,0.65,0.07,-0.94
1781848,2,The return and political risks of overseas projects are very low. Payback,"The basic mode of overseas engineering is to provide 20% advance payment by the owner, and then recover the payment according to the delivery node and completion schedule. The EPC contractor does not need to pay the capital, the cash flow is better, and the third party letter of credit payment transfers the credit risk to the bank. The risk of payment is not large. Political risk: China's CITIC Insurance provides 95% of political insurance to companies doing overseas engineering. In the event of a political risk that causes the project to stop working, the engineering company may not make money, but the probability of large losses due to political instability is extremely low.",-2,0.05,0.03,0.65,0.27,-0.94
602021,0,"Regardless of the depreciation period adjustment, the second quarter results are estimated to fall by 30%.","The company's net profit for the first half of the year was 430 million yuan, equivalent to an income per share of 0.18 yuan, down 48% year-on-year. Among them, EPS in the first and second quarters was 0.08 yuan and 0.10 yuan respectively, and the performance in the second quarter rose by 21%. The second quarter results increased by the company. On April 1, 2013, the company raised the depreciation period of some fixed assets. It is expected to increase the total profit of 2013 by about 400 million yuan. Excluding the depreciation adjustment factor, the company's net profit in the second quarter is about 1.36. 100 million yuan, down about 30% from the previous month.",-2,0.06,0.21,0.52,0.2,-0.94
620176,1,The first quarter comprehensive gross profit margin fell to 11.6,"In the first quarter of this year, the company's operating cost increased by 77.3% year-on-year. The comprehensive gross profit margin dropped sharply from 15.3% in the first quarter of last year to 11.6% in the same period of this year. The main reason is that the unit cost and unit price of chicken products declined in the first quarter of this year. The decline in the unit cost of chicken is lower than the decline in the unit price of chicken, which leads to an increase in operating costs higher than the increase in operating income.",-2,0.02,0.03,0.93,0.02,-0.94
578159,1,"Gross profit margin in 2012 was 26.86%, down from 4.29 percentage points in the previous year.","The company's gross profit margin in 2012 fell to 26.86%, falling for two consecutive years. The main reason is that overseas demand is weak, the company has increased its domestic sales business, while the domestic sales business has a lower gross profit margin.",-2,0.11,0.24,0.54,0.1,-0.94
1701705,1,Third-quarter results were affected by exchange rate fluctuations and low oil prices,"In the third quarter, the RMB exchange rate fluctuated greatly, with the highest hit 6.4085. The company had more US dollar loans and the RMB depreciated, resulting in a significant increase of RMB 310 million in financial expenses in the third quarter. At the same time, due to multiple factors such as the US interest rate hike, crude oil prices continued to slump. Crude oil prices fell more than 30% from July to August, resulting in a sluggish demand for PTA and polyester. The gross profit margin of the products fell from 5.2% in the first half of the year to 3.4% in the third quarter.",-2,0.1,0.05,0.84,0.01,-0.93
729449,2,What are the challenges faced by the company and the management of the group?,"Challenges: (1) External challenges, macroeconomic challenges, and alcohol companies are relatively less affected, after the week",-2,0.13,0.03,0.54,0.3,-0.93
611847,0,"August sales rose by 36% from July, due to the weakening of sales overdrafts caused by the implementation of the country in July and July.",The average monthly sales volume from August to October last year (since the monthly sales overdraft due to the relevant governance overload policy implemented in September last year) increased by 5.3% year-on-year.,-2,0.26,0.13,0.6,0.01,-0.93
784438,3,Key risks to rating,"? The macro economy has dragged down the price increase of endogenous rents, and the situation of newly opened market investment has not reached expectations.",-2,0.05,0.05,0.69,0.21,-0.93
763362,2,Seed industry has become the main reason dragging down the first quarter results. The negative impact will be weakened quarter by quarter.,"Although the seed industry accounts for a small proportion of the annual profit (about 10%-15%), it accounts for about 1/3 of the profit in the first quarter. According to the calculation of minority shareholders' profit and loss, the seed industry confirmed that the net profit in the first quarter of 2013 was about 43 million, compared with about 65 million in the same period last year, down about 35% year-on-year. The reason is that the seed industry is currently in the downturn cycle of the economy, and it is difficult for a single company to be independent. On the other hand, due to the sales in the 2012/13 sales season, the sales rate in the first quarter is slowed down in the first quarter, resulting in year-on-year sales. The progress does not match. From the perspective of the business year, it is expected that the seed industry will still achieve growth of around 20%, and its negative impact will be weakened quarter by quarter. It is expected that the year-on-year decline in the profit of the seed industry will be reduced to less than 10%. ? The feed business is developing rapidly and the cost rate is still manageable. In the first quarter of this year, the company focused on developing large customers, using the industry's sluggishness to expand against the trend, while revenues grew at a high rate, and expenses increased rapidly. In the first quarter, the three rates increased from 13.48% to 13.68%, a slight increase of 0.2%. The pressure for the later cost increase is still relatively large, but considering the increase in the base, the expense rate is still controllable.",-2,0.06,0.08,0.79,0.06,-0.93
